ur.0620401771.51 ur.01016630446.33 5 1 1 0
ur.0620401771.51 ur.016107031141.43 5 1 1 0
ur.013025262125.67 ur.010214276737.63 5 0 0 0
ur.013025262125.67 ur.07425035470.69 5 0 1 0
ur.010214276737.63 ur.07425035470.69 5 0 1 0
ur.01041525526.29 ur.01016630446.33 6 1 1 0
ur.01041525526.29 ur.016107031141.43 6 1 1 0
ur.01041525526.29 ur.015152116605.52 5 1 1 0
ur.01041525526.29 ur.011430176737.55 5 1 1 0
ur.01041525526.29 ur.07425035470.69 5 1 1 0
ur.01016630446.33 ur.016107031141.43 6 1 1 0
ur.01016630446.33 ur.015152116605.52 5 1 1 0
ur.01016630446.33 ur.011430176737.55 5 1 1 0
ur.01016630446.33 ur.07425035470.69 5 1 1 0
ur.016107031141.43 ur.015152116605.52 5 1 1 0
ur.016107031141.43 ur.011430176737.55 5 1 1 0
ur.016107031141.43 ur.07425035470.69 5 1 1 0
ur.015152116605.52 ur.011430176737.55 5 1 1 0
ur.015152116605.52 ur.07425035470.69 5 1 1 0
ur.011430176737.55 ur.07425035470.69 5 1 1 0
ur.01067566551.07 ur.0651753653.00 5 0 1 0
ur.01067566551.07 ur.012101447407.49 5 0 1 0
ur.012600740261.14 ur.012501436222.04 5 0 1 0
ur.012600740261.14 ur.01024345025.82 5 0 1 0
ur.0651753653.00 ur.012101447407.49 5 0 1 0
ur.012501436222.04 ur.01024345025.82 6 0 1 0
ur.014102720422.47 ur.016343000657.11 5 1 1 0
ur.014102720422.47 ur.01206164116.88 6 1 1 0
ur.016343000657.11 ur.01206164116.88 5 1 1 0
ur.01364235606.88 ur.01255664334.11 6 0 1 0
ur.01364235606.88 ur.01334105063.89 10 0 1 0
ur.016202773327.34 ur.01333361475.47 5 0 1 0
ur.016202773327.34 ur.01321631417.18 6 1 0 0
ur.016202773327.34 ur.01077250063.01 5 0 1 0
ur.016202773327.34 ur.01334105063.89 5 0 1 0
ur.01333361475.47 ur.01321631417.18 5 1 1 0
ur.01333361475.47 ur.01077250063.01 5 0 0 0
ur.01333361475.47 ur.01334105063.89 5 0 1 0
ur.01255664334.11 ur.01334105063.89 6 0 1 0
ur.01321631417.18 ur.01077250063.01 5 1 1 0
ur.01321631417.18 ur.01334105063.89 5 1 1 0
ur.01077250063.01 ur.01334105063.89 5 0 1 0
ur.010636363761.75 ur.01372520060.17 5 0 1 0
ur.010636363761.75 ur.0624655432.11 5 0 1 0
ur.010636363761.75 ur.01331223250.26 5 0 1 0
ur.010636363761.75 ur.01117055112.04 5 0 1 0
ur.01372520060.17 ur.0624655432.11 6 0 0 0
ur.01372520060.17 ur.01331223250.26 6 0 0 0
ur.01372520060.17 ur.01117055112.04 6 0 1 0
ur.0624655432.11 ur.01331223250.26 6 0 0 0
ur.0624655432.11 ur.01117055112.04 6 0 1 0
ur.01331223250.26 ur.01117055112.04 6 0 1 0
ur.0701604640.60 ur.0653730223.64 6 0 1 0
ur.0711257316.22 ur.016270713367.50 13 0 1 0
ur.0711257316.22 ur.010315107367.78 14 0 1 0
ur.0711257316.22 ur.013303011367.97 13 0 1 0
ur.0711257316.22 ur.015644622435.08 7 1 1 0
ur.0711257316.22 ur.01371526373.26 14 0 1 0
ur.0711257316.22 ur.012404203227.38 18 0 1 0
ur.0711257316.22 ur.016243516656.34 15 0 1 0
ur.0711257316.22 ur.016536612277.07 10 0 1 0
ur.0711257316.22 ur.07624616303.05 7 0 1 0
ur.0711257316.22 ur.0702055316.53 18 0 1 0
ur.016270713367.50 ur.010315107367.78 12 0 1 0
ur.016270713367.50 ur.013303011367.97 12 0 0 0
ur.016270713367.50 ur.015644622435.08 7 1 1 0
ur.016270713367.50 ur.01371526373.26 12 0 1 0
ur.016270713367.50 ur.012404203227.38 12 0 1 0
ur.016270713367.50 ur.016243516656.34 12 0 1 0
ur.016270713367.50 ur.016536612277.07 10 0 1 0
ur.016270713367.50 ur.07624616303.05 7 0 1 0
ur.016270713367.50 ur.0702055316.53 12 0 1 0
ur.010315107367.78 ur.013303011367.97 13 0 1 0
ur.010315107367.78 ur.015644622435.08 7 1 1 0
ur.010315107367.78 ur.01371526373.26 14 0 0 0
ur.010315107367.78 ur.012404203227.38 14 0 1 0
ur.010315107367.78 ur.016243516656.34 14 0 1 0
ur.010315107367.78 ur.016536612277.07 10 0 1 0
ur.010315107367.78 ur.07624616303.05 7 0 1 0
ur.010315107367.78 ur.0702055316.53 14 0 1 0
ur.013303011367.97 ur.015644622435.08 7 1 1 0
